route,lang,kategorie,slug,titel,beschreibung,hat_webp,hat_png,hat_og,de_pendant,datei,meta_datei,hinweis
/compliance/ai-act-august-2026,de,compliance,ai-act-august-2026,Was passiert am 02.08.2026? EU AI Act Enforcement-Start,"Seit dem 2. August 2026 gelten Marktaufsicht und Strafrahmen des EU AI Act. Was nach dem Digital Omnibus (Juni 2026) konkret gilt, was verschoben wurde und welche 6 Schritte KMUs jetzt gehen müssen.",/images/hero-2026-08/de/compliance/ai-act-august-2026.webp,,ja,,app/(de)/compliance/ai-act-august-2026/page.tsx,app/(de)/compliance/ai-act-august-2026/page.tsx,
/compliance/ai-agent-legal-framework,de,compliance,ai-agent-legal-framework,AI Agent Legal Framework — EU AI Act Compliance,"Wie du AI-Agenten gesetzeskonform einsetzt: EU AI Act, DSGVO, Risikobewertung, Compliance-Dokumente und Hash Chain für Manipulationssicherheit.",/images/hero-2026-08/de/compliance/ai-agent-legal-framework.webp,,ja,,app/(de)/compliance/ai-agent-legal-framework/page.tsx,app/(de)/compliance/ai-agent-legal-framework/page.tsx,
/compliance/chatbot-transparenzpflichten,de,compliance,chatbot-transparenzpflichten,Chatbot Transparenzpflichten nach EU AI Act,"Was du bei Chatbots und KI-generierten Inhalten beachten musst. Kennzeichnungspflichten, Offenlegung, Copyright - alles kompakt.",/images/hero-2026-08/de/compliance/chatbot-transparenzpflichten.webp,/images/infographics/chatbot-transparenzpflichten.png,ja,,app/(de)/compliance/chatbot-transparenzpflichten/page.tsx,app/(de)/compliance/chatbot-transparenzpflichten/page.tsx,
/compliance/datenschutz-praxis,de,compliance,datenschutz-praxis,Datenschutz Praxis,"DSGVO in der Praxis umsetzen: technische und organisatorische Massnahmen (TOM), Zugriffskontrollen, Logging, Monitoring und Checklisten.",/images/hero-2026-08/de/compliance/datenschutz-praxis.webp,/images/infographics/datenschutz-tom-uebersicht.png,ja,,app/(de)/compliance/datenschutz-praxis/page.tsx,app/(de)/compliance/datenschutz-praxis/page.tsx,
/compliance/dpia,de,compliance,dpia,Datenschutz-Folgenabschätzung (DPIA),"DPIA für KI-Systeme: Wann ist eine Datenschutz-Folgenabschätzung Pflicht, wie führt man sie durch, und was muss dokumentiert werden.",/images/hero-2026-08/de/compliance/dpia.webp,/images/diagrams/dpia-6-schritte-flow.png,ja,,app/(de)/compliance/dpia/page.tsx,app/(de)/compliance/dpia/page.tsx,
/compliance/dsgvo-grundlagen,de,compliance,dsgvo-grundlagen,DSGVO Grundlagen,"DSGVO-Grundlagen für AI-Systeme: Pflichten, Rechtsgrundlagen, Dokumentation und Praxis-Hinweise. Kein Ersatz für Rechtsberatung.",/images/hero-2026-08/de/compliance/dsgvo-grundlagen.webp,/images/generated/hero-dsgvo-compliance.png,ja,,app/(de)/compliance/dsgvo-grundlagen/page.tsx,app/(de)/compliance/dsgvo-grundlagen/page.tsx,
/compliance/edps-guidelines,de,compliance,edps-guidelines,EDPS Guidelines — Was der EU-Datenschutzbeauftragte für KI vorgibt,"Der European Data Protection Supervisor (EDPS) veröffentlicht verbindliche Guidelines für den KI-Einsatz in EU-Institutionen und sie sind De-facto-Maßstab auch für KMUs. Überblick, Praxis-Hinweise und Cross-Ref zu DSGVO und EU AI Act.",/images/hero-2026-08/de/compliance/edps-guidelines.webp,,ja,,app/(de)/compliance/edps-guidelines/page.tsx,app/(de)/compliance/edps-guidelines/page.tsx,
/compliance/eu-ai-act,de,compliance,eu-ai-act,EU AI Act,"EU AI Act seit 1. August 2024 in Kraft. Art. 4 KI-Kompetenz gilt seit 02.02.2025, vollständige Anwendung seit 02.08.2026. Risikoklassen, Pflichten, Strafen.",/images/hero-2026-08/de/compliance/eu-ai-act.webp,/images/generated/hero-eu-ai-act.png,ja,,app/(de)/compliance/eu-ai-act/page.tsx,app/(de)/compliance/eu-ai-act/page.tsx,
/compliance/eu-ai-act-checkliste,de,compliance,eu-ai-act-checkliste,EU AI Act Compliance Checkliste,"Ihre 7-Schritte Checkliste zur EU AI Act Bereitschaft. Risikoklassen, Transparenzpflichten, Verbote - alles kompakt.",/images/hero-2026-08/de/compliance/eu-ai-act-checkliste.webp,/images/infographics/eu-ai-act-7-schritte-checkliste.png,ja,,app/(de)/compliance/eu-ai-act-checkliste/page.tsx,app/(de)/compliance/eu-ai-act-checkliste/page.tsx,
/compliance/ki-kompetenz-art4,de,compliance,ki-kompetenz-art4,KI-Kompetenz nach Art. 4 EU AI Act,Art. 4 EU AI Act: KI-Kompetenz Pflicht gilt seit 02.02.2025 für alle Unternehmen — auch nach dem Digital Omnibus 2026. Aufsicht durch nationale Marktaufsicht seit 02.08.2026. Praxis-Guide für DACH-KMUs.,/images/hero-2026-08/de/compliance/ki-kompetenz-art4.webp,/images/infographics/ki-kompetenz-betroffen-matrix.png,ja,,app/(de)/compliance/ki-kompetenz-art4/page.tsx,app/(de)/compliance/ki-kompetenz-art4/page.tsx,
/compliance/self-assessment,de,compliance,self-assessment,EU AI Act Readiness Check,Interaktives 10-Fragen Self-Assessment: Wie gut ist dein Unternehmen auf den EU AI Act vorbereitet?,/images/hero-2026-08/de/compliance/self-assessment.webp,,,,app/(de)/compliance/self-assessment/page.tsx,app/(de)/compliance/self-assessment/layout.tsx,
